iter	Logloss
0	0.6772067575
1	0.665456773
2	0.6530854878
3	0.641610595
4	0.6286463718
5	0.618611502
6	0.6085552735
7	0.5979412545
8	0.5897784984
9	0.5808142807
10	0.5718073593
11	0.5640186546
12	0.5573624426
13	0.5508706092
14	0.5427540468
15	0.5365015285
16	0.5304538204
17	0.5253087212
18	0.5206779069
19	0.5153872835
20	0.5112564769
21	0.5050407965
22	0.5004015428
23	0.4966497273
24	0.4926450193
25	0.4884200273
26	0.4841053127
27	0.4808405382
28	0.4776635159
29	0.4740631385
30	0.4704410498
31	0.4677111575
32	0.4652243168
33	0.4622625506
34	0.4597734278
35	0.4569148785
36	0.454561088
37	0.4512026976
38	0.447410878
39	0.4439481914
40	0.4412407903
41	0.439317079
42	0.4365269186
43	0.434646345
44	0.43250292
45	0.4307252136
46	0.4287079964
47	0.4269587978
48	0.4253584444
49	0.4236009935
50	0.4217267944
51	0.4195413226
52	0.4177200722
53	0.4161650434
54	0.414326248
55	0.4128741206
56	0.4115122144
57	0.4101227267
58	0.4089652718
59	0.4077037848
60	0.406415055
61	0.4052255487
62	0.403730604
63	0.402055219
64	0.4007398743
65	0.3991696007
66	0.3977594964
67	0.396715618
68	0.3957993065
69	0.394679542
70	0.393335384
71	0.3922582444
72	0.391306942
73	0.3902166112
74	0.3891614875
75	0.3879495461
76	0.3864080953
77	0.3855714603
78	0.3845303413
79	0.3836995832
80	0.3827153305
81	0.3816377336
82	0.3807832476
83	0.379596135
84	0.3787767318
85	0.3780079053
86	0.3771777887
87	0.3763792102
88	0.3756912629
89	0.374959584
90	0.3741887248
91	0.3729839296
92	0.3724311946
93	0.3713683778
94	0.3706162025
95	0.3699342768
96	0.3689572566
97	0.3681477509
98	0.3675560268
99	0.3669520599
100	0.3663005803
101	0.3657250228
102	0.3652523768
103	0.3645669948
104	0.3634372993
105	0.3624010459
106	0.3615361822
107	0.3607677654
108	0.3602522007
109	0.359504617
110	0.35866582
111	0.3577965645
112	0.3571373404
113	0.356284578
114	0.3551841029
115	0.3548799602
116	0.3544217541
117	0.3539660955
118	0.3530787217
119	0.3524266301
120	0.3515519956
121	0.3508851055
122	0.3502507894
123	0.3492321062
124	0.3487987324
125	0.3481925526
126	0.3472284694
127	0.3465874103
128	0.3459088906
129	0.3455400956
130	0.3449413306
131	0.3442177342
132	0.3438108965
133	0.3432164237
134	0.3422757943
135	0.3416207336
136	0.3409612236
137	0.3405557272
138	0.3399165405
139	0.3392980453
140	0.3387081246
141	0.3381780225
142	0.3374223629
143	0.336832216
144	0.3361167812
145	0.3357220323
146	0.3349947408
147	0.334390386
148	0.3338620103
149	0.3331071199
150	0.3327099817
151	0.3321601275
152	0.3317286206
153	0.3311466424
154	0.3304381037
155	0.3298592651
156	0.3291583133
157	0.3286919087
158	0.3282011383
159	0.3276704222
160	0.327220604
161	0.326619056
162	0.3260779301
163	0.3255769007
164	0.3249751387
165	0.3244649446
166	0.3239376311
167	0.3231654285
168	0.3226790476
169	0.3221698604
170	0.3215860351
171	0.3211248249
172	0.3203866017
173	0.3199685121
174	0.3194800249
175	0.3190124906
176	0.3186080324
177	0.3181719141
178	0.3177371942
179	0.3172672295
180	0.3168277042
181	0.3162719601
182	0.31591737
183	0.3154544976
184	0.3149039605
185	0.3141730753
186	0.3138354661
187	0.3132966561
188	0.3129232008
189	0.3124190268
190	0.3118313021
191	0.3115588409
192	0.3111091319
193	0.3105732004
194	0.3103206701
195	0.3099638656
196	0.3095185161
197	0.3090073555
198	0.3085169927
199	0.3080968975
200	0.3076808148
201	0.3072824952
202	0.3066800717
203	0.3063529376
204	0.3057909331
205	0.3053613916
206	0.304832729
207	0.3040744592
208	0.3035821779
