iter	Passed	Remaining
0	4	4979
1	10	5483
2	15	5308
3	20	5163
4	25	5114
5	30	5096
6	35	5045
7	40	5036
8	45	5053
9	51	5050
10	56	5050
11	61	5079
12	66	5074
13	72	5097
14	77	5113
15	83	5113
16	87	5074
17	93	5083
18	98	5097
19	103	5089
20	108	5069
21	114	5074
22	129	5498
23	133	5432
24	138	5419
25	143	5387
26	148	5363
27	153	5342
28	158	5312
29	164	5304
30	168	5277
31	173	5259
32	178	5218
33	183	5203
34	188	5193
35	193	5168
36	198	5171
37	203	5163
38	209	5157
39	214	5151
40	219	5138
41	224	5124
42	229	5104
43	235	5115
44	241	5121
45	245	5097
46	250	5083
47	255	5065
48	261	5072
49	266	5070
50	271	5054
51	276	5035
52	281	5024
53	286	5013
54	291	5006
55	296	4996
56	301	4981
57	305	4963
58	310	4949
59	315	4943
60	320	4934
61	325	4918
62	329	4901
63	334	4889
64	339	4884
65	344	4874
66	348	4859
67	353	4850
68	358	4837
69	363	4832
70	368	4827
71	374	4824
72	379	4819
73	383	4803
74	390	4811
75	394	4801
76	401	4813
77	405	4798
78	410	4791
79	417	4798
80	422	4795
81	427	4789
82	433	4789
83	438	4779
84	442	4767
85	450	4783
86	454	4770
87	459	4763
88	465	4768
89	470	4756
90	475	4751
91	481	4750
92	486	4742
93	491	4738
94	497	4738
95	501	4725
96	506	4716
97	513	4723
98	517	4711
99	522	4702
100	528	4705
101	534	4702
102	539	4695
103	545	4697
104	549	4683
105	553	4670
106	559	4669
107	564	4660
108	568	4649
109	573	4641
110	578	4637
111	583	4628
112	587	4615
113	593	4609
114	598	4603
115	602	4592
116	607	4585
117	612	4578
118	617	4567
119	622	4564
120	628	4564
121	633	4557
122	638	4551
123	643	4546
124	649	4544
125	654	4541
126	659	4535
127	665	4534
128	670	4530
129	676	4524
130	681	4518
131	686	4513
132	691	4508
133	696	4500
134	701	4496
135	706	4491
136	711	4483
137	716	4474
138	721	4467
139	727	4468
140	731	4459
141	737	4453
142	741	4445
143	746	4435
144	751	4432
145	757	4432
146	763	4429
147	770	4433
148	775	4427
149	779	4416
150	786	4424
151	791	4417
152	796	4408
153	803	4412
154	807	4403
155	812	4393
156	818	4397
157	823	4390
158	827	4378
159	834	4379
160	839	4372
161	843	4365
162	850	4364
163	854	4356
164	859	4347
165	864	4341
166	868	4333
167	873	4325
168	878	4318
169	882	4309
170	886	4299
171	892	4294
172	898	4293
173	902	4282
174	906	4274
175	912	4270
176	916	4262
177	921	4257
178	926	4248
179	930	4239
180	934	4230
181	939	4221
182	944	4215
183	948	4207
184	952	4197
185	956	4188
186	961	4181
187	966	4175
188	971	4167
189	975	4157
190	980	4152
191	984	4143
192	989	4138
193	994	4132
194	999	4125
195	1003	4117
196	1009	4114
197	1014	4109
198	1019	4103
199	1025	4100
200	1029	4091
201	1034	4085
202	1039	4080
203	1043	4073
204	1049	4070
205	1053	4062
206	1059	4058
207	1063	4050
208	1067	4041
209	1072	4035
210	1077	4027
211	1082	4024
212	1087	4019
213	1092	4013
214	1097	4008
215	1102	4002
216	1107	3996
217	1112	3992
218	1117	3986
219	1122	3978
220	1126	3971
221	1132	3968
222	1137	3963
223	1142	3956
224	1146	3950
225	1150	3941
226	1155	3935
227	1160	3929
228	1165	3923
229	1170	3919
230	1175	3914
231	1181	3910
232	1186	3904
233	1191	3900
234	1195	3892
235	1201	3888
236	1207	3886
237	1212	3881
238	1217	3877
239	1223	3873
240	1228	3868
241	1233	3864
242	1239	3861
243	1244	3855
244	1249	3849
245	1254	3845
246	1259	3839
247	1264	3833
248	1270	3833
249	1275	3826
250	1279	3818
251	1284	3814
252	1289	3806
253	1293	3798
254	1298	3793
255	1303	3788
256	1309	3784
257	1314	3779
258	1318	3773
259	1323	3768
260	1329	3763
261	1333	3756
262	1338	3749
263	1343	3745
264	1348	3739
265	1353	3733
266	1357	3727
267	1363	3722
268	1367	3716
269	1372	3710
270	1377	3704
271	1381	3698
272	1386	3692
273	1391	3685
274	1395	3680
275	1400	3674
276	1406	3670
277	1411	3664
278	1415	3658
279	1420	3653
280	1425	3647
281	1430	3641
282	1435	3637
283	1440	3631
284	1445	3627
285	1451	3623
286	1456	3618
287	1461	3613
288	1466	3608
289	1471	3602
290	1476	3596
291	1480	3590
292	1485	3584
293	1490	3578
294	1495	3573
295	1500	3568
296	1504	3562
297	1510	3557
298	1514	3551
299	1519	3546
300	1525	3541
301	1529	3535
302	1535	3531
303	1540	3527
304	1545	3522
305	1550	3516
306	1556	3512
307	1561	3507
308	1566	3502
309	1571	3496
310	1575	3490
311	1579	3483
312	1583	3476
313	1588	3471
314	1594	3467
315	1598	3460
316	1603	3455
317	1608	3449
318	1612	3442
319	1617	3436
320	1622	3432
321	1628	3428
322	1633	3423
323	1637	3417
324	1643	3412
325	1647	3406
326	1649	3395
327	1655	3390
328	1659	3385
329	1664	3379
330	1669	3373
331	1674	3369
332	1679	3363
333	1684	3358
334	1690	3355
335	1695	3351
336	1701	3346
337	1708	3347
338	1716	3346
339	1723	3344
340	1730	3343
341	1738	3345
342	1745	3342
343	1752	3342
344	1759	3340
345	1767	3340
346	1773	3337
347	1780	3336
348	1787	3334
349	1793	3331
350	1799	3327
351	1805	3323
352	1812	3322
353	1818	3319
354	1829	3323
355	1837	3323
356	1844	3322
357	1851	3319
358	1857	3316
359	1863	3313
360	1869	3309
361	1874	3304
362	1881	3300
363	1886	3296
364	1892	3292
365	1898	3289
366	1904	3284
367	1909	3279
368	1914	3274
369	1920	3269
370	1926	3265
371	1932	3262
372	1938	3257
373	1944	3254
374	1948	3248
375	1954	3243
376	1960	3239
377	1966	3235
378	1970	3229
379	1976	3225
380	1982	3220
381	1987	3215
382	1993	3211
383	1998	3205
384	2002	3198
385	2007	3193
386	2012	3187
387	2017	3181
388	2021	3174
389	2026	3169
390	2031	3163
391	2035	3156
392	2039	3150
393	2045	3145
394	2050	3140
395	2056	3136
396	2061	3131
397	2066	3125
398	2071	3119
399	2076	3114
400	2080	3107
401	2084	3100
402	2090	3096
403	2095	3091
404	2099	3085
405	2104	3079
406	2109	3073
407	2113	3066
408	2117	3059
409	2122	3054
410	2127	3048
411	2131	3042
412	2137	3037
413	2141	3031
414	2145	3024
415	2150	3019
416	2155	3013
417	2159	3006
418	2164	3000
419	2168	2995
420	2173	2988
421	2177	2982
422	2183	2978
423	2189	2974
424	2195	2970
425	2203	2968
426	2209	2965
427	2216	2962
428	2221	2956
429	2228	2953
430	2235	2951
431	2241	2946
432	2249	2946
433	2263	2951
434	2270	2948
435	2276	2945
436	2282	2940
437	2287	2935
438	2293	2930
439	2300	2928
440	2306	2923
441	2312	2918
442	2319	2916
443	2326	2913
444	2333	2909
445	2339	2906
446	2346	2902
447	2353	2899
448	2360	2896
449	2367	2893
450	2375	2891
451	2384	2891
452	2390	2886
453	2399	2885
454	2407	2884
455	2415	2882
456	2422	2878
457	2428	2874
458	2434	2869
459	2441	2865
460	2447	2861
461	2455	2859
462	2463	2856
463	2469	2852
464	2477	2850
465	2483	2845
466	2490	2842
467	2496	2837
468	2501	2832
469	2510	2831
470	2516	2826
471	2522	2821
472	2527	2816
473	2532	2810
474	2538	2805
475	2545	2801
476	2551	2797
477	2557	2792
478	2563	2788
479	2570	2785
480	2576	2780
481	2583	2776
482	2591	2774
483	2597	2769
484	2605	2766
485	2612	2762
486	2618	2758
487	2624	2753
488	2629	2747
489	2636	2743
490	2642	2739
491	2651	2737
492	2658	2733
493	2663	2728
494	2669	2723
495	2675	2718
496	2680	2712
497	2687	2708
498	2692	2703
499	2698	2698
500	2705	2694
501	2713	2691
502	2722	2690
503	2729	2686
504	2740	2686
505	2747	2681
506	2752	2676
507	2758	2671
508	2763	2665
509	2768	2659
510	2774	2655
511	2780	2649
512	2785	2644
513	2791	2639
514	2797	2634
515	2803	2629
516	2808	2624
517	2814	2619
518	2819	2613
519	2825	2608
520	2830	2602
521	2835	2596
522	2841	2591
523	2846	2586
524	2853	2581
525	2859	2577
526	2866	2572
527	2871	2566
528	2876	2560
529	2882	2556
530	2887	2550
531	2893	2545
532	2902	2543
533	2909	2538
534	2915	2533
535	2922	2529
536	2929	2525
537	2935	2521
538	2942	2516
539	2947	2510
540	2953	2505
541	2959	2500
542	2965	2495
543	2970	2489
544	2978	2486
545	2984	2481
546	2992	2477
547	2999	2474
